Pupigpalluq Mekelghiiq Nulightulghii

pupigpalluq	pupig-palluq[N→N][N][Abs][Unpd][Sg]
ungipaghaatanga	ungipaghagh-–ghte[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-–ghte[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-–ghte[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipaghaate[V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipaghagh-te[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-te[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipaghagh-te[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipaghagh-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipaghagh-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
