Allakaghmeng aanumalghiit mangteghameng.

allakaghmeng	allakagh*[Quant_Qual][4Pl]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Intr][Intrg][3Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Pl]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Intr][Intrg][3Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Pl]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Intr][Intrg][3Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Pl]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghlegh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[SBJ.V-ed.something][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Intr][Intrg][3Sg]
seghleghunii	seghleghu-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]
seghleghunii	seghleghu-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Pl]
seghleghunii	seghleghu-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Intr][Intrg][3Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fni[to.say.that.one.is.V-ing][Cmpd_Vbl][V][Trns][Ind][3Sg][3Pl]
seghleghunii	seghleghu-~:(u)te[to.V.for.or.with][to.cause.to.V.as.one.is.V-ing][to.V.toward.each.other][V→V]-@₁~fna[in.order.to.V][intending.to.V][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V]-~i[SBJ.V-ed.something][V→V][V][Intr][Opt][PRS][2Sg]
