Kaavam Anglinaqellgha 

------------------------
Kaavam Apellgha 

------------------------


------------------------
Sikneq

sikneq	Siknegh[N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fna[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fna[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fna[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fna[V→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fna[V→V][V][Trns][Ind][2Sg][3Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fnagh[V→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fnagh[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fnagh[V→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fnagh[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fnagh[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
pigpenaan	pi-–gpe[V→V]-@₁~fnagh[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]

ayumiqullghet	ayumiqullegh[N][Abs][Unpd][Pl]
ayumiqullghet	ayumiqullegh[N][Rel][Unpd][Pl]

ataasit	ataasigh[N][Abs][Unpd][Pl]
ataasit	ataasigh[N][Rel][Unpd][Pl]

------------------------
Uwalighneghmeng taawegken Esneghagni.

esneghagni	Esneghag[N][Loc][Unpd][Pl]
esneghagni	Esneghag-ni[N→N][N][Abs][Unpd][Sg]
esneghagni	esneghagh[N][Abs][4SgPoss][DuPosd]
esneghagni	esneghagh[N][Loc][Unpd][Du]

------------------------
Nalluqanga, angyengestalgulghiinga.

nalluqanga	na-te[V→V]-@₁lugh[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
nalluqanga	na-te[V→V]-@₁lugh[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
nalluqanga	na-te[V→V]-@₁lugh[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
nalluqanga	na-te[V→V]-@₁lugh[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
nalluqanga	na-te[V→V]-@₁lugh[V→V][V][Trns][Cond][3Sg][1Sg]
nalluqanga	na-te[V→V]-@₁lugh[V→V][V][Trns][Ptcp][3Sg][3Sg]
nalluqanga	na-~:(u)te[V→N]-te[N→V]-@₁lugh[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
nalluqanga	na-~:(u)te[V→N]-te[N→V]-@₁lugh[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
nalluqanga	na-~:(u)te[V→N]-te[N→V]-@₁lugh[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
nalluqanga	na-~:(u)te[V→N]-te[N→V]-@₁lugh[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
nalluqanga	na-~:(u)te[V→N]-te[N→V]-@₁lugh[V→V][V][Trns][Cond][3Sg][1Sg]
nalluqanga	na-~:(u)te[V→N]-te[N→V]-@₁lugh[V→V][V][Trns][Ptcp][3Sg][3Sg]
nalluqanga	nallu-qaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]

angyengestalgulghiinga	angyengestagh-–leg[N→N]-~:(ng₁)u[N→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
angyengestalgulghiinga	angyengestagh-–leg[N→N]-~:(ng₁)u[N→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
angyengestalgulghiinga	angyengestagh-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ptcp][1Sg]
angyengestalgulghiinga	angyengestagh-–lgu[N→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
angyengestalgulghiinga	angyengestagh-–lgu[N→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
angyengestalgulghiinga	angyengestagh-–lgu[N→V][V][Intr][Ptcp][1Sg]

------------------------


------------------------
Ilutmun maaqek uughqaghtat allgeqestat.

ilutmun	ilu-~:(u)te[V→N]-~fmete[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
ilutmun	ilu-~:(u)te[V→N]-~fmete[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
ilutmun	ilu-~:(u)te[V→N][N][Ter][Unpd][Sg]

uughqaghtat	ete-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~aghte[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	ete-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~aghte[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	ete-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-~aghte[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	uughqa-–ghte[N→V][V][Intr][Intrg][3Pl]
uughqaghtat	uughqaghte[V][Intr][Intrg][3Pl]
uughqaghtat	uughqaghtagh[N][Abs][Unpd][Pl]
uughqaghtat	uughqaghtagh[N][Rel][Unpd][Pl]
uughqaghtat	uughhe-~–qagh[V→V]-–ghte[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	uughhe-~–qagh[V→V]-(s)ta[V→N][N][Abs][Unpd][Pl]
uughqaghtat	uughhe-~–qagh[V→V]-(s)ta[V→N][N][Rel][Unpd][Pl]
uughqaghtat	uughhe-~–qagh[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	uughhe-~–qagh[V→V]-te[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	uughhe-~–qaghte[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	ughhe-~–qagh[V→V]-–ghte[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	ughhe-~–qagh[V→V]-(s)ta[V→N][N][Abs][Unpd][Pl]
uughqaghtat	ughhe-~–qagh[V→V]-(s)ta[V→N][N][Rel][Unpd][Pl]
uughqaghtat	ughhe-~–qagh[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	ughhe-~–qagh[V→V]-te[V→V][V][Intr][Intrg][3Pl]
uughqaghtat	ughhe-~–qaghte[V→V][V][Intr][Intrg][3Pl]

------------------------
Negillghek whaangiighhaaghllutek kenlekek, uksaapagmi whaten, ilutmun tungyuuk maaqeghllagek.

whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][2Du]
whaangiighhaaghllutek	wha-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-aq[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V][V][Intr][Sbrd][2Du]
