ESTAMAA 

------------------------
Ayumiim Ungipaghaatangi 

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
ungipaghaatangi	ungipaghagh-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-–ghte[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-–ghte[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-–ghte[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-te[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[N→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[V→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[V→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(ng₁)u[V→V]-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipaghagh-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipaghagh-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
