ESTAMAA 

------------------------
Ayumiim Ungipaghaatangi 

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-ate[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-ate[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-ate[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-ate[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-ate[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-agh[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-~:(ng₁)u[V→V]-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-agh[N→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-agh[N→V]-~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	Ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
