Taghnughhaq qapragllequq aqumgamakuni.

taghnughhaq	taghnughhagh*[N][Abs][Unpd][Sg]
qiyaaq	qiya[V][Trns][Ind][3Sg][3Du]
qiyaaq	qiya-aq[V→N][N][Abs][Unpd][Sg]

aghyuughyavgu	aghyuugh[V][Trns][CnsqI][2Sg][3Sg]
aghyuughyavgu	aghyuugh[V][Trns][CnsqI][2Sg][4Sg]

------------------------
Iikwan elqwaaghniighhaakut.

elqwaaghniighhaakut	elqwaagh-nite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-nite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-nite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-nite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-nite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-nite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Opt][PRS][2Sg][1Pl]
elqwaaghniighhaakut	elqwaagh-nite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Intrg][2Pl][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Opt][PRS][2Sg][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-te[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Intrg][2Pl][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Opt][PRS][2Sg][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Intrg][2Pl][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-––igh[N→V][V][Intr][Opt][FUT][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Opt][PRS][2Sg][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Intrg][2Pl][1Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
elqwaaghniighhaakut	elqwaagh-ni[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]
