Iiska mekestaaghhaaguq.
apalguunga	apa-–leg[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–leg[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–leg[N→N]-~:(ng₁)u[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–leg[N→N]-~:(ng₁)u[N→V][V][Intr][Ind][1Sg]
apalguunga	apa-–leg[N→N]-~:(ng₁)ughte[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–leg[N→N]-~:(ng₁)ughte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgu[N→V][V][Intr][Ind][1Sg]
apalguunga	apa-–lgun[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apa-–lgun[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
apalguunga	apagh-–lgute[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]

------------------------
Ataka angyaghllalguuq.

ataka	ata-~–ke[N→V][V][Intr][Intrg][3Sg]
