AYUMIIM MANGTEGHASQWAAGHILLU MANGTEGHAPIGILLU

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
nekeglluki	ne-~–kegte[N→V]-te[V→V][V][Trns][Sbrd][_][3Pl]
nekeglluki	nekeg-–ghte[N→V]-te[V→V][V][Trns][Sbrd][_][3Pl]
nekeglluki	nekeg-lluk[N→N]-~–ke[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
nekeglluki	nekeg-lluk[N→N]-~–ke[N→V][V][Intr][Opt][PRS][2Sg]
nekeglluki	nekeg-lluk[N→N]-~–ke[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
nekeglluki	nekeg-lluk[N→N][N][Abs][3SgPoss][PlPosd]

nanilighluki	na-@₁~:(u)te[V→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	na-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	na-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	na-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	na-~:(u)te[V→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	na-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	na-~fniq[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	nanugh-––i[N→V]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	nanigh-––i[N→V]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	nani-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	nanigh-–ligh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	nani-liq[N→N]-––igh[N→V][V][Trns][Sbrd][_][3Pl]
nanilighluki	na-neq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–ligh[N→V][V][Trns][Sbrd][_][3Pl]

------------------------
Ilangi mangteghasqwaaghaqut inglukulluki tent-astun ayuqluki, piiqegkangit, kiigmi nayuput.

