SIVUQAM UNGIIPAA

sivuqam	Sivuqagh[N][Rel][Unpd][Sg]

------------------------
Akulkim Apellgha

------------------------


------------------------
Akuwaaq Qayiilleghtaqngamta, taamum ilangan aatghi liitaput.

qayiilleghtaqngamta	qayugh-––igh[N→V]-~:(ng₁)u[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qayugh-––igh[N→V]-~:(ng₁)u[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayugh-––igh[N→V]-~:(ng₁)u[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayugh-––igh[N→V]-~:(ng₁)u[V→V]-–llek[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qayugh-––igh[N→V]-~:(ng₁)u[V→V]-–llek[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qayagh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qayagh-––ii[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qayagh-––ii[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayagh-––ii[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayagh-––ii[N→V]-–lleq[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
