SIVUGAM KIYAGHTAALLGHA AYUMIQ

ayumiq	ayumigh*[N][Abs][Unpd][Sg]

------------------------
Uvim Ungipaa

ungipaa	ungipagh-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaa	ungipagh-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaa	ungipagh[N][Abs][3SgPoss][SgPosd]
ungipaa	ungipagh[V][Intr][Opt][PRS][2Sg]
ungipaa	Ungipagh-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaa	Ungipagh[N][Abs][3SgPoss][SgPosd]

------------------------


------------------------
Elngaatall liisalghiinga, liitelleghma kenlenganeng taagken mangteghapiperegwaaq.

elngaatall	elngaatall

liisalghiinga	laagh-––i[N→V]-te[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	laagh-––i[N→V]-te[V→V][V][Intr][Ptcp_Obl][1Sg]
liisalghiinga	laagh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~fyagh[V→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liisalghiinga	laagh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
liisalghiinga	laagh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	laagh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liisalghiinga	laagh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
liisalghiinga	laagh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	laagh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Ptcp_Obl][1Sg]
liisalghiinga	laagh-––i[N→V]-~:(u)te[V→N]-te[N→V][V][Intr][Ptcp_Obl][1Sg]
liisalghiinga	luugh-––i[N→V]-te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liisalghiinga	luugh-––i[N→V]-te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
liisalghiinga	luugh-––i[N→V]-te[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	luugh-––i[N→V]-te[V→V][V][Intr][Ptcp_Obl][1Sg]
liisalghiinga	luugh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~fyagh[V→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liisalghiinga	luugh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
liisalghiinga	luugh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	luugh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liisalghiinga	luugh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
liisalghiinga	luugh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	luugh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Ptcp_Obl][1Sg]
liisalghiinga	luugh-––i[N→V]-~:(u)te[V→N]-te[N→V][V][Intr][Ptcp_Obl][1Sg]

kenlenganeng	kenle[N][Abl_Mod][3SgPoss][SgPosd]
kenlenganeng	kenle[N][Abl_Mod][3SgPoss][PlPosd]

taagken	taagken

------------------------
Nenglum ulimallghanun nuughtuutkaagunga.

nenglum	nenglu[N][Rel][Unpd][Sg]

nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	ne-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	nuugh-–ghte[V→V]-~:(u)te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	nuugh-–ghte[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	nuugh-–ghte[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	nuughtugh-–ghte[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	nuughtugh-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	nuughtugh-te[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
nuughtuutkaagunga	nuughtugh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₂~fkau[V→V][V][Intr][Ind][1Sg]
