NATENG ANGYAPIGEM ULIIMALLGHI

nateng	na-@₁~:(u)n[V→N][N][Abs][4PlPoss][PlPosd]
aviisalghii	aviite-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	ava-––i[N→V]-te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	ava-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	ava-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	avugh-~:(ng₁)ite[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
Sangwaa tamaaghhaan maani allgeghtekaq atuqegkaqegkangat sangllaghnaqneghmeggni unangniighusiq tamaghhaan ulimaperugwaaghluku piiqegkangat tamaani.

sangwaa	sa-@₁~:(u)n[V→N]-–ngu[N→V][V][Intr][Intrg][3Sg]
sangwaa	sa-~:(ng₁)u[N→V][V][Intr][Intrg][3Sg]
sangwaa	sa-~:(ng₁)u[V→V][V][Intr][Intrg][3Sg]
sangwaa	sa-–ngu[N→V][V][Intr][Intrg][3Sg]
sangwaa	sa-–ngu[V→V][V][Intr][Intrg][3Sg]
sangwaa	sa-–ngugh*[V→N][N][Abs][3SgPoss][SgPosd]
sangwaa	sangwaa[N][Abs][Unpd][Sg]

tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][2SgPoss][SgPosd]
tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][3SgPoss][SgPosd]
tamaaghhaan	tamaa-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][3SgPoss][PlPosd]

maani	maani

allgeghtekaq	allgegh-–ghte[V→V]-~–(g₁)kaq[V→N][N][Abs][Unpd][Sg]
allgeghtekaq	allgegh-–ghte[V→V]-@₂~fkaq[V→N][N][Abs][Unpd][Sg]
allgeghtekaq	allgegh-te[V→V]-~–(g₁)kaq[V→N][N][Abs][Unpd][Sg]
allgeghtekaq	allgegh-te[V→V]-@₂~fkaq[V→N][N][Abs][Unpd][Sg]

atuqegkaqegkangat	atugh-~–ke[N→V]-~sf–(g₃)kaq[V→N]-~–ke[N→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Pl]
