AATKAM KAKILLGHA, ATUQELLGHA NEGHIGHLUKU

aatkam	aatkagh[N][Rel][Unpd][Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(s)ta[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-staaghhaa[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-staaghhaa[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	me-~–ke[N→V]-staaghhaa[V→V]-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-staaghhaa[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaagh-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	mekestaaghhagh*-–ghte[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaaghhagh*-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaaghhaa-@₁~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaaghhaa-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaaghhaa-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaaghhaa[V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaaghhagh*-te[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaaghhagh*-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaaghhagh*-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	mekestaaghhagh*-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-–nge[N→V][V][Intr][Intrg][3Sg]
mekestaaghhaalunga	mekestaaghhagh*-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaaghhagh*-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	mekestaaghhagh*-~:(ng₁)u[N→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	mekestaaghhagh*-~:(ng₁)u[N→V][V][Trns][Sbrd][_][1Sg]

liitunga	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––i[N→V]-ugh[V→V]-–tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-ugh[V→V]-–tu[V→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-ugh[V→V]-–tu[V→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––i[N→V]-aq[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––i[N→V]-aq[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––i[N→V]-aq[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
