Sulpik Naapleghhii Kaviighmeng

naapleghhii	naapte-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaghnaluni	sii-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-~i[V→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-~i[V→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-~i[V→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-~i[V→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-~i[V→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-~i[V→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-~i[V→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saam-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saam-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saam-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saam-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saam-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saam-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saam-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saam-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saam-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saam-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saam-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saam-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saam-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saam-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaghw-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saaghw-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saaghw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaghw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saaghw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saaghw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaghw-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	saaghw-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	saaghw-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	saaghw-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
