Yupigem Homonym-ngi

yupigem	Yupig[N][Rel][Unpd][Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-–ghte[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-–ghte[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-–ghte[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)ughte[N→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)ughte[N→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)ughte[N→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)ughte[N→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)ughte[N→V]-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-–ghte[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-–ghte[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-–ghte[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-–ghte[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-te[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-~:(ng₁)u[N→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(ng₁)u[V→V]-te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(u)te[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-~:(u)te[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(u)te[V→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(u)te[V→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
naghaaghutnguluku	naghaagh-~:(u)te[V→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][3Sg]
naghaaghutnguluku	naghaagh-~:(u)te[V→N]-~:(ng₁)u[N→V][V][Trns][Sbrd][_][3Sg]

pii	pi-aq[V→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
