Leghlleq

leghlleq	leghllegh[N][Abs][Unpd][Sg]
neghyugnalghiit	negh-@₁~fyug[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
neghyugnalghiit	negh-@₁~fyug[V→V]-@₁~fnagh[V→V][V][Intr][Ptcp][3Pl]
neghyugnalghiit	negh-@₁~fyugnagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
neghyugnalghiit	negh-@₁~fyugnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
neghyugnalghiit	negh-@₁~fyugnagh[V→V][V][Intr][Ptcp][3Pl]
neghyugnalghiit	neghe-@₁~fyug[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
neghyugnalghiit	neghe-@₁~fyug[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
neghyugnalghiit	neghe-@₁~fyug[V→V]-@₁~fna[V→V][V][Intr][Ptcp][3Pl]
neghyugnalghiit	neghe-@₁~fyug[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
neghyugnalghiit	neghe-@₁~fyug[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
neghyugnalghiit	neghe-@₁~fyug[V→V]-@₁~fnagh[V→V][V][Intr][Ptcp][3Pl]
neghyugnalghiit	neghe-@₁~fyugnagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
neghyugnalghiit	neghe-@₁~fyugnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
neghyugnalghiit	neghe-@₁~fyugnagh[V→V][V][Intr][Ptcp][3Pl]

maani	maani

sivuqami	Sivuqagh[N][Loc][Unpd][Sg]
sivuqami	Sivuqagh[N][Rel][4SgPoss][PlPosd]
sivuqami	Sivuqagh[N][Rel][4SgPoss][SgPosd]

------------------------
