Ayngaghlingaawetenkuk, Qilakaghiilaankuk

------------------------
Puughhutem Ungipaghaa

puughhutem	puughhe-~:(u)te[V→N][N][Rel][Unpd][Sg]
yaywaalingiighhaat	yaywaali-~:(ng₁)ite**[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)ite**[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)ite**[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-~:(ng₁)ite**[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~fngiighhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~fngiighhagh*[N→N][N][Abs][3PlPoss][SgPosd]
