Vuvallanga Ayapeghyugem (1)

------------------------
(1) Ayapeghyugnguq taana Avatmiit pikaat, Walangankut Kepelgunkut saknaaghat.

ayapeghyugnguq	ayapegh-@₁~fyug[V→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]

taana	taane[V][Intr][Intrg][3Sg]
taana	taana

avatmiit	Avate-~fmii[N→N][N][Abs][Unpd][Pl]
avatmiit	Avate-~fmii[N→N][N][Rel][Unpd][Pl]
avatmiit	Avatmii(t)[N][Abs][Unpd][Pl]
avatmiit	Avatmii(t)[N][Rel][Unpd][Pl]

------------------------


	

------------------------
Vuvallam sanqutangi sivuliq qalik, signeghet, qaltaghwaaghek, aghqusighhaak tughneghaghnun, saguyak, tagnelghii nanighhaq kumangalghii.

vuvallam	vuvalla[N][Rel][Unpd][Sg]
qalik	qaligh[N][Rel][Unpd][Du]

signeghet	signegh[N][Abs][Unpd][Pl]
signeghet	signegh[N][Rel][Unpd][Pl]

aghqusighhaak	aghqe-@₁~:(u)siq[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Du]
aghqusighhaak	aghqe-@₁~:(u)siq[V→N]-–ghhagh*[N→N][N][Abs][3DuPoss][SgPosd]
aghqusighhaak	aghqe-@₁~:(u)siq[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Du]
aghqusighhaak	aghqe-te[V→V]-@₁~:(u)siq[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Du]
aghqusighhaak	aghqe-te[V→V]-@₁~:(u)siq[V→N]-–ghhagh*[N→N][N][Abs][3DuPoss][SgPosd]
aghqusighhaak	aghqe-te[V→V]-@₁~:(u)siq[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Du]

tughneghaghnun	tughneghagh*[N][Ter][Unpd][Pl]
tughneghaghnun	tughneghagh*-nte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]

saguyak	saguyagh[N][Abs][Unpd][Du]
saguyak	saguyagh[N][Rel][Unpd][Du]

tagnelghii	tagnegh-@₁–lghii[V→N][N][Abs][Unpd][Sg]

nanighhaq	na-@₁~:(u)te[V→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	na-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	na-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	na-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	na-~:(u)te[V→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	na-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
nanighhaq	na-~fniq[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
