Yuuk Enkaam Qateghyiighaghhaq

enkaam	enkaam

qateghyiighaghhaq	qateghyiighagh*-–ghhagh*[N→N][N][Abs][Unpd][Sg]

------------------------


	

------------------------
Yuugnguq iimna aghvengyupiglleghhii.

nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-aq[V→N][N][Abs][4SgPoss][SgPosd]
nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-aq[V→N][N][Abs][4SgPoss][PlPosd]
