KILGAAN QIKMIGHAA

kilgaan	kilgaa[N][Abs][2SgPoss][SgPosd]
tuunumakanga	tugg-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tugg-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tugg-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
tuunumakanga	tugg-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
tuunumakanga	tugg-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
tuunumakanga	tugg-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tugg-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tugg-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tugg-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tugg-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
tuunumakanga	tugg-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
tuunumakanga	tugg-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
tuunumakanga	tuune-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tuune-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tuune-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tuune-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tuune-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
tuunumakanga	tuune-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
tuunumakanga	tuune-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

------------------------
Aqumutaghllagegnekun neveghlluni sumeghtaghaghtuq salleghqameng, navek piyaataalleghqameng.

neveghlluni	nevegh-–ghte[N→V]-te[V→V][V][Intr][Sbrd][3Sg]
neveghlluni	nevegh-lluk[N→N][N][Abs][4SgPoss][SgPosd]
neveghlluni	nevegh-lluk[N→N][N][Abs][4SgPoss][PlPosd]

sumeghtaghaghtuq	sumeghtaghagh-–ghte[V→V][V][Intr][Ind][3Sg]
sumeghtaghaghtuq	sumeghtaghagh[V][Intr][Ind][3Sg]
sumeghtaghaghtuq	sumeghtaghagh-te[V→V][V][Intr][Ind][3Sg]
sumeghtaghaghtuq	sumegh-taq[N→N]-–ghagh*[N→N]-–ghte[N→V][V][Intr][Ind][3Sg]
sumeghtaghaghtuq	sumegh-taq[N→N]-–ghagh*[N→N][N][Abs][Unpd][Sg]-tuq[Encl]
sumeghtaghaghtuq	sumegh-taq[N→N]-–ghagh*[N→N]-te[N→V][V][Intr][Ind][3Sg]
