Siingvallagha

siingvallagha	siingvallagha[V][Intr][Opt][PRS][2Sg]
meghtiisqesatni	megh-te[V→V]-aq[V→N]-––i[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
meghtiisqesatni	megh-te[V→V]-aq[V→N]-––i[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Sg][4Sg]
meghtiisqesatni	megh-ti[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
meghtiisqesatni	megh-ti[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
meghtiisqesatni	megh-ti[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Sg][4Sg]
meghtiisqesatni	megh-tagh[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
meghtiisqesatni	megh-tagh[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
meghtiisqesatni	megh-tagh[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Sg][4Sg]
meghtiisqesatni	megh-tagh[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
meghtiisqesatni	megh-tagh[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
meghtiisqesatni	megh-tagh[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Sg][4Sg]
meghtiisqesatni	megh-tugh[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
meghtiisqesatni	megh-tugh[N→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
