Aqsam imii

aqsam	aqsa[N][Rel][Unpd][Sg]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fnagh[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fna[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fnagh[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-agh[N→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-agh[N→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-te[V→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
